,Point Estimate,Lower Bound,Upper Bound
15.531297,0.6612903225806451,0.553553281068525,0.746031746031746
15.708541,0.6861313868613139,0.5937210648148148,0.7692546583850932
15.885786,0.7051282051282052,0.6176421239636795,0.782051282051282
16.06303,0.7023809523809523,0.6143790849673203,0.7730179981696776
16.240276,0.7283236994219653,0.6440038375439718,0.8
16.417522,0.7357512953367875,0.6631016042780749,0.8
16.594767,0.7592592592592593,0.6899913793103448,0.8208247316267547
16.77201,0.7521367521367521,0.6887898782395755,0.807027290448343
16.949257,0.766798418972332,0.7074209180956438,0.8249051556420233
17.126501,0.7471698113207547,0.6864344727324303,0.8029197080291971
17.303747,0.7483443708609272,0.6910299003322259,0.801399310705872
17.480991,0.7555555555555555,0.6999917491749175,0.8037974683544303
17.658237,0.7669616519174042,0.7138233438485804,0.811997065604695
17.835482,0.7608695652173914,0.7083277027027027,0.8084075556129254
18.012728,0.7563451776649747,0.706199460916442,0.800937620790796
18.189972,0.7678571428571429,0.7224875113293847,0.8100235194630163
18.367216,0.7810650887573964,0.7408906882591093,0.8190511333684766
18.544462,0.7867647058823529,0.7430603474474163,0.8239715668481549
18.721706,0.800658978583196,0.7650036491742396,0.8336278100983984
18.898952,0.8181818181818182,0.7848351158645276,0.8481207316284982
19.076197,0.8295454545454546,0.797573574461792,0.8575386452678206
19.253443,0.8351063829787234,0.8084489713594192,0.863274373896554
19.430687,0.8454882571075402,0.8187579214195184,0.8710481159521279
19.607933,0.8475750577367206,0.8233850522259406,0.8729641693811075
19.785177,0.8523862375138734,0.828257472826087,0.8767726986714557
19.962421,0.8577494692144374,0.8351290635349756,0.8800020325203252
20.139668,0.858908341915551,0.8343945706312009,0.8833545548094671
20.316912,0.8593903638151426,0.8354673567375444,0.8807881773399014
20.494158,0.8598484848484849,0.8356536421566757,0.8804486603128934
20.671402,0.861878453038674,0.8409897828863346,0.8827291739007534
20.848648,0.8656447249774571,0.8434137073329657,0.8869603864734299
21.025892,0.8664898320070734,0.8431509222934901,0.8877201933404941
21.203138,0.8700173310225303,0.8486991217673092,0.889447559132423
21.380383,0.8741496598639455,0.8540180941593563,0.8941000974059089
21.557627,0.8734069668649108,0.8514369371513955,0.8933358908780904
21.734873,0.8761583824768323,0.8564099216710183,0.8945688522061724
21.912117,0.8740490278951818,0.8549352887544753,0.8922081898201302
22.089363,0.8793969849246231,0.8607584379387887,0.8991796679101146
22.266607,0.8825978351373855,0.8622205513784461,0.8995153834054804
22.443853,0.8840700583819849,0.8645531374972584,0.9027552674230146
22.621098,0.8870151770657673,0.8679740237642428,0.904113010847125
22.798344,0.891156462585034,0.8730119369659496,0.9098397547691235
22.975588,0.8981324278438031,0.8787429491213918,0.9168053244592346
23.152832,0.9043020193151887,0.8848869012897791,0.9210788719808668
23.330078,0.907103825136612,0.8868604674782985,0.9264709138748503
23.507322,0.909433962264151,0.8910630491917928,0.9263813074157902
23.684568,0.9113924050632911,0.8929662134067042,0.9298263700488334
23.861813,0.9100204498977505,0.8891302073858468,0.9282204908893311
24.039059,0.9104016477857878,0.8905055591487265,0.92821222692647
24.216303,0.9098621420996819,0.889839345599565,0.9273896506103795
24.393549,0.9102990033222591,0.8909497101725393,0.9281767955801105
24.570793,0.9130938586326767,0.8932703295942206,0.9306504487189422
24.748037,0.9151732377538829,0.8932015773816387,0.9350507455801141
24.925283,0.9147869674185464,0.8945346171773736,0.934164681612087
25.102528,0.9185750636132316,0.8991024457546701,0.9373433583959899
