Band,F1 Score,Accuracy,Kappa
TCI_B,0.6186197376010912,0.9407557810683865,0.5872560358573364
UI,0.6195730392401854,0.9405529438333543,0.5880008725203568
LSWI,0.6330752030726183,0.9425883605820331,0.6025980432534082
WDRVI,0.6253359437869241,0.9411635274203206,0.5940244321503579
WDVI,0.6336208783653294,0.9423853161588139,0.6029913823272447
NDSInw,0.6275703052613126,0.9423849017824398,0.5971467388864029
AFRI2100,0.6215482185893464,0.9409598614325405,0.5902225899280781
DSWI2,0.6279431658030729,0.9421814429828469,0.5973372927774689
GOSAVI,0.6188372675118826,0.9407557810683865,0.5874851711690015
DVI,0.6250075525349787,0.9419779841832538,0.594351464228637
WRI,0.6350533227186818,0.942792233758,0.6046514893019175
ExR,0.6100994494956796,0.939330947906674,0.5779298970172956
NDWI,0.629801010915042,0.9421812357946597,0.5991508361784506
EVI,0.619895061728395,0.9409596542443536,0.58864777989606
VrNIRBI,0.616049909714506,0.9401456118577942,0.5843146632069771
NDBI,0.6247078971460084,0.9415710665840678,0.5937546230079579
RDVI,0.6274724827463597,0.941977776995067,0.5967003492640901
NDVI,0.6341533098350597,0.9429956925575931,0.6039442089356347
ExG,0.6166455646594737,0.9401447831050465,0.5848918017197126
MNDWI,0.6188271075041719,0.9409598614325405,0.5876504267899361
MCARI1,0.636051340455668,0.9431989441689993,0.6058907642882195
NDGI,0.6179977283053157,0.9405527366451674,0.5865093609055749
BI,0.6190418863010466,0.9405527366451674,0.5875282796161351
TSAVI,0.6308170916387473,0.9421816501710338,0.6001173079515192
EVI2,0.6150589602348167,0.9401454046696074,0.5834048840912323
NRFIg,0.6296169352871277,0.94238490178244,0.5990930385596283
kRVI,0.6311480459317275,0.9421820645474078,0.6003969550411514
NBR,0.6284181554412811,0.9419775698068799,0.5976886414338785
mSR705,0.6299249593295431,0.9419779841832538,0.5990902369054752
NDII,0.6133888516091793,0.9405531510215415,0.5820641116586165
SR705,0.6152649839573547,0.9401456118577943,0.5835401181533604
WI1,0.6207860930524876,0.9403486562810135,0.5890395766700783
VgNIRBI,0.6133406758872597,0.9399417386818275,0.5815656163377393
MSR705,0.6226890849626541,0.9413669862199138,0.5916673524199354
TDVI,0.6218455510786935,0.9415704450195068,0.5909776841785697
ANDWI,0.6227305698360305,0.9415702378313198,0.5918227670660599
SAVI,0.6347114199463016,0.9431997729217472,0.6046650420203438
BaI,0.6221145510185422,0.9409600686207276,0.5907871239504692
B7,0.6166483394642388,0.9403488634692003,0.5850585687857469
NDSoI,0.6303022080580462,0.9419781913714408,0.5994846021399679
NDSII,0.6153491303997634,0.9407564026329475,0.584107657702756
OSAVI,0.6190540861028501,0.9405521150806067,0.5875094933256106
EMBI,0.6216911212500646,0.9415702378313199,0.5908596143021528
GM2,0.6186149960586051,0.9409594470561666,0.5873735894894646
MSR,0.6219774796609978,0.9411641489848815,0.5908422386855732
B5,0.609727753866715,0.9403498994101351,0.5783806371458989
NGRDI,0.6214051378709733,0.9405523222687935,0.5897996863043108
ATSAVI,0.6329176282038379,0.942181028606473,0.602119395106296
NDVIMNDWI,0.6261316750152001,0.9415710665840675,0.5951217860469924
MTVI2,0.6260215232167065,0.9413674005962875,0.5948671759698293
AVI,0.6186212571236961,0.9411633202321337,0.5875651118809377
DSWI5,0.635322096318202,0.9429958997457801,0.6050682799276579
NDSWIR,0.6180579813340196,0.9403482419046396,0.5863845178684237
QA10,0.6359544268733581,0.9427911978170652,0.6055355910064888
MSK_CLDPRB,0.6222733457071095,0.9409594470561666,0.5909728310853858
QA60,0.628336467006894,0.942385108970627,0.5978820627906719
QA20,0.6220915852599753,0.9415714809604415,0.5912424886379718
MSK_CLASSI_OPAQUE,0.6117705078299174,0.9403492778455744,0.5803931758947808
MSK_CLASSI_SNOW_ICE,0.6208806009736935,0.9409594470561666,0.5895880171980719
MSK_CLASSI_CIRRUS,0.6278659356674878,0.9423855233470009,0.5974025012691211
MSK_SNWPRB,0.6276118413960005,0.941977155430506,0.5968375272271587
